代码	名称	市场	
000725	京东方A	沪深
002353	杰瑞股份	沪深
300274	阳光电源	沪深
600111	北方稀土	沪深
600655	豫园股份	沪深
601108	财通证券	沪深
603228	景旺电子	沪深
688516	奥特维	沪深
000625	长安汽车	沪深
002273	水晶光电	沪深
300114	中航电测	沪深
600062	华润双鹤	沪深
600582	天地科技	沪深
601038	一拖股份	沪深
603019	中科曙光	沪深
000528	柳工	沪深
002179	中航光电	沪深
300012	华测检测	沪深
600026	中远海能	沪深
600522	中天科技	沪深
600998	九州通	沪深
601901	方正证券	沪深
688187	时代电气	沪深
000338	潍柴动力	沪深
002080	中材科技	沪深
002938	鹏鼎控股	沪深
600009	上海机场	沪深
600497	驰宏锌锗	沪深
600941	中国移动	沪深
601866	中远海发	沪深
688072	拓荆科技	沪深
000039	中集集团	沪深
002027	分众传媒	沪深
002773	康弘药业	沪深
301267	华厦眼科	沪深
600406	国电南瑞	沪深
600893	航发动力	沪深
601727	上海电气	沪深
605117	德业股份	沪深
001289	龙源电力	沪深
002608	江苏国信	沪深
300782	卓胜微	沪深
600352	浙江龙盛	沪深
600871	石化油服	沪深
601611	中国核建	沪深
603868	飞科电器	沪深
000959	首钢股份	沪深
002555	三七互娱	沪深
300699	光威复材	沪深
600295	鄂尔多斯	沪深
600809	山西汾酒	沪深
601333	广深铁路	沪深
603658	安图生物	沪深
000858	五粮液	沪深
002460	赣锋锂业	沪深
300476	胜宏科技	沪深
600177	雅戈尔	沪深
600745	闻泰科技	沪深
601216	君正集团	沪深
603501	韦尔股份	沪深
000768	中航西飞	沪深
002414	高德红外	沪深
300394	天孚通信	沪深
600141	兴发集团	沪深
600690	海尔智家	沪深
601155	新城控股	沪深
603290	斯达半导	沪深
688676	金盘科技	沪深
000703	恒逸石化	沪深
002311	海大集团	沪深
300146	汤臣倍健	沪深
600095	湘财股份	沪深
600600	青岛啤酒	沪深
601088	中国神华	沪深
603179	新泉股份	沪深
688396	华润微	沪深
000591	太阳能	沪深
002241	歌尔股份	沪深
300037	新宙邦	沪深
600038	中直股份	沪深
600563	法拉电子	沪深
601016	节能风电	沪深
601990	南京证券	沪深
688278	特宝生物	沪深
000425	徐工机械	沪深
002138	顺络电子	沪深
003031	中瓷电子	沪深
600019	宝钢股份	沪深
600517	国网英大	沪深
600977	中国电影	沪深
601880	辽港股份	沪深
688122	西部超导	沪深
000157	中联重科	沪深
002056	横店东磁	沪深
002841	视源股份	沪深
301589	诺瓦星云	沪深
600482	中国动力	沪深
600909	华安证券	沪深
601808	中海油服	沪深
688032	禾迈股份	沪深
000009	中国宝安	沪深
002001	新和成	沪深
002709	天赐材料	沪深
300957	贝泰妮	沪深
600377	宁沪高速	沪深
600884	杉杉股份	沪深
601689	拓普集团	沪深
603939	益丰药房	沪深
000987	越秀资本	沪深
002600	领益智造	沪深
300759	康龙化成	沪深
600329	达仁堂	沪深
600848	上海临港	沪深
601567	三星医疗	沪深
603806	福斯特	沪深
000895	双汇发展	沪深
002493	荣盛石化	沪深
300573	兴齐眼药	沪深
600233	圆通速递	沪深
600765	中航重机	沪深
601236	红塔证券	沪深
603589	口子窖	沪深
000800	一汽解放	沪深
002432	九安医疗	沪深
300442	润泽科技	沪深
600161	天坛生物	沪深
600707	彩虹股份	沪深
601179	中国西电	沪深
603369	今世缘	沪深
000728	国元证券	沪深
002371	北方华创	沪深
300285	国瓷材料	沪深
600118	中国卫星	沪深
600660	福耀玻璃	沪深
601118	海南橡胶	沪深
603233	大参林	沪深
688561	奇安信-U	沪深
000629	钒钛股份	沪深
002281	光迅科技	沪深
300122	智飞生物	沪深
600066	宇通客车	沪深
600583	海油工程	沪深
601058	赛轮轮胎	沪深
603087	甘李药业	沪深
688349	三一重能	沪深
000538	云南白药	沪深
002185	华天科技	沪深
300014	亿纬锂能	沪深
600027	华电国际	沪深
600535	天士力	沪深
600999	招商证券	沪深
601918	新集能源	沪深
688188	柏楚电子	沪深
000400	许继电气	沪深
002085	万丰奥威	沪深
002939	长城证券	沪深
600010	包钢股份	沪深
600498	烽火通信	沪深
600956	新天绿能	沪深
601868	中国能建	沪深
688082	盛美上海	沪深
000063	中兴通讯	沪深
002028	思源电气	沪深
002797	第一创业	沪深
301269	华大九天	沪深
600415	小商品城	沪深
600895	张江高科	沪深
601728	中国电信	沪深
605499	东鹏饮料	沪深
002625	光启技术	沪深
300832	新产业	沪深
600362	江西铜业	沪深
600872	中炬高新	沪深
601615	明阳智能	沪深
603883	老百姓	沪深
000960	锡业股份	沪深
002558	巨人网络	沪深
300724	捷佳伟创	沪深
600298	安琪酵母	沪深
600816	建元信托	沪深
601336	新华保险	沪深
603659	璞泰来	沪深
000876	新希望	沪深
002463	沪电股份	沪深
300487	蓝晓科技	沪深
600183	生益科技	沪深
600754	锦江酒店	沪深
601225	陕西煤业	沪深
603505	金石资源	沪深
000776	广发证券	沪深
002415	海康威视	沪深
300408	三环集团	沪深
600143	金发科技	沪深
600699	均胜电子	沪深
601156	东航物流	沪深
688728	格科微	沪深
000708	中信特钢	沪深
002318	久立特材	沪深
300207	欣旺达	沪深
600098	广州发展	沪深
600612	老凤祥	沪深
601098	中南传媒	沪深
603195	公牛集团	沪深
688425	铁建重工	沪深
000596	古井贡酒	沪深
002252	上海莱士	沪深
300054	鼎龙股份	沪深
600050	中国联通	沪深
600566	济川药业	沪深
601018	宁波港	沪深
601991	大唐发电	沪深
688295	中复神鹰	沪深
000426	兴业银锡	沪深
002152	广电运通	沪深
003816	中国广核	沪深
600021	上海电力	沪深
600518	ST康美	沪深
600988	赤峰黄金	沪深
601881	中国银河	沪深
688126	沪硅产业	沪深
000166	申万宏源	沪深
002064	华峰化学	沪深
002850	科达利	沪深
600004	白云机场	沪深
600486	扬农化工	沪深
600918	中泰证券	沪深
601816	京沪高铁	沪深
688036	传音控股	沪深
000021	深科技	沪深
002007	华兰生物	沪深
002736	国信证券	沪深
300979	华利集团	沪深
600378	昊华科技	沪深
600885	宏发股份	沪深
601696	中银证券	沪深
603979	金诚信	沪深
000988	华工科技	沪深
002601	龙佰集团	沪深
300760	迈瑞医疗	沪深
600332	白云山	沪深
600862	中航高科	沪深
601598	中国外运	沪深
603816	顾家家居	沪深
000921	海信家电	沪深
002508	老板电器	沪深
300601	康泰生物	沪深
600236	桂冠电力	沪深
